id,dialog_name,tab_name,group_box,control_name,control_type,breadcrumb_path,launch_command,automation_id,registry_key,synonyms,description,source,windows_versions_confirmed,last_verified
advanced.virtual-workspaces.containers,Advanced,Virtual Workspaces,,Containers,Toggle,System > Advanced > Virtual Workspaces > Containers,optionalfeatures.exe,,,windows server containers|docker|container support,Provides services and tools to create and manage Windows Server Containers and their resources.,Vision,,2026-06-22
advanced.virtual-workspaces.guarded-host,Advanced,Virtual Workspaces,,Guarded Host,Toggle,System > Advanced > Virtual Workspaces > Guarded Host,optionalfeatures.exe,,,shielded vm|remote attestation|hyper-v guarded,Enables the device to create and run Shielded Virtual Machines using remote attestation.,Vision,,2026-06-22
advanced.virtual-workspaces.virtual-machine-platform,Advanced,Virtual Workspaces,,Virtual Machine Platform,Toggle,System > Advanced > Virtual Workspaces > Virtual Machine Platform,optionalfeatures.exe,,,vmp|wsl2|virtualization platform,Enables platform support for virtual machines on Windows.,Vision,,2026-06-22
advanced.virtual-workspaces.windows-hypervisor-platform,Advanced,Virtual Workspaces,,Windows Hypervisor Platform,Toggle,System > Advanced > Virtual Workspaces > Windows Hypervisor Platform,optionalfeatures.exe,,,whp|hypervisor api|third party hypervisor,Enables virtualization software to run on the Windows hypervisor.,Vision,,2026-06-22
advanced.virtual-workspaces.windows-sandbox,Advanced,Virtual Workspaces,,Windows Sandbox,Toggle,System > Advanced > Virtual Workspaces > Windows Sandbox,optionalfeatures.exe,,,sandbox environment|isolated desktop|temporary desktop,Enables the dependencies required to run Windows Sandbox scenarios.,Vision,,2026-06-22
advanced.virtual-workspaces.hyper-v-gui-management-tools,Advanced,Virtual Workspaces,Hyper-V settings,Hyper-V GUI Management Tools,Toggle,System > Advanced > Virtual Workspaces > Hyper-V settings > Hyper-V GUI Management Tools,optionalfeatures.exe,,,hyper-v manager|vm connection tool|hyper-v snap-in,Includes the Hyper-V Manager snap-in and Virtual Machine Connection tool.,Vision,,2026-06-22
advanced.virtual-workspaces.hyper-v-powershell-module,Advanced,Virtual Workspaces,Hyper-V settings,Hyper-V Module for Windows PowerShell,Toggle,System > Advanced > Virtual Workspaces > Hyper-V settings > Hyper-V Module for Windows PowerShell,optionalfeatures.exe,,,hyper-v cmdlets|powershell hyper-v|manage hyper-v script,Includes Windows PowerShell cmdlets for managing Hyper-V.,Vision,,2026-06-22
advanced.virtual-workspaces.hyper-v-hypervisor,Advanced,Virtual Workspaces,Hyper-V settings,Hyper-V Hypervisor,Toggle,System > Advanced > Virtual Workspaces > Hyper-V settings > Hyper-V Hypervisor,optionalfeatures.exe,,,type 1 hypervisor|bare metal hypervisor|hyper-v core,Provides the Hyper-V Hypervisor.,Vision,,2026-06-22
advanced.virtual-workspaces.hyper-v-services,Advanced,Virtual Workspaces,Hyper-V settings,Hyper-V Services,Toggle,System > Advanced > Virtual Workspaces > Hyper-V settings > Hyper-V Services,optionalfeatures.exe,,,hyper-v vmms|virtual machine management|hyper-v worker,Provides the services that you can use to create and manage virtual machines and their resources.,Vision,,2026-06-22
advanced.file-explorer.show-file-extensions,Advanced,File Explorer,File Explorer,Show file extensions,Toggle,System > Advanced > File Explorer > File Explorer > Show file extensions,control.exe folders,,,file extensions visible|hide extensions|display extensions,Shows or hides file name extensions in File Explorer.,Vision,,2026-06-22
